Superorder,Order,Family,Species,Body Mass,Brain Mass,Telencephalon,Diencephalon,Mesencephalon,Cerebellum,Medulla,Reproductive Mode,Trophic Mode,Ecological Lifestyle
,,Sphyrnidae,Sphyrna lewini,25000,47.03,25.28,2.09,3.07,11.15,5.44,Placental,Matrotrophic,Pelagic
,,,Sphyrna mokarran,148500,99.14,65.95,3.36,3.72,18.25,7.86,Placental,Matrotrophic,Pelagic
,,,Sphyrna zygaena,10320,32.80,19.06,1.29,1.99,7.30,3.16,Placental,Matrotrophic,Pelagic
,,Triakidae,Galeorhinus galeus,12183,10.38,3.96,0.63,1.78,1.78,2.22,Yolk-sac Live-bearing,Lecithotrophic,Shelf
,,,Mustelus antarcticus,581,3.84,1.73,0.21,0.55,0.68,0.68,Mucoid Histotrophy,Matrotrophic,Shelf
,,,Mustelus lenticulatus,2289,5.97,2.45,0.26,0.74,1.04,1.47,Mucoid Histotrophy,Matrotrophic,Shelf
,,,Triakis semifasciata,1194,3.15,1.09,0.22,0.40,0.71,0.74,Yolk-sac Live-bearing,Lecithotrophic,Shelf
,Heterodontiformes,Heterdontidae,Heterodontus portusjacksoni,335,1.92,1.03,0.18,0.17,0.23,0.31,Egg-Laying,Lecithotrophic,Reef
,Lamniformes,Alopiidae,Alopias superciliosus,62730,30.20,8.21,0.95,4.89,9.69,6.46,Oophagy,Matrotrophic,Pelagic
,,,Alopias vulpinus,7051,11.40,3.03,0.31,1.77,3.51,2.78,Oophagy,Matrotrophic,Pelagic
,,Lamnidae,Carcharodon carcharias,1628600,36.75,14.28,2.05,5.25,6.49,8.69,Oophagy,Matrotrophic,Pelagic
,,,Isurus oxyrinchus,186533,25.59,9.65,0.86,4.65,4.36,6.07,Oophagy,Matrotrophic,Pelagic
,,Odontaspidae,Carcharias taurus,152400,14.25,4.36,1.63,1.35,3.60,3.32,Oophagy,Matrotrophic,Reef
,,Pseudocarchariidae,Pseudocarcharias kamoharai,3900,4.80,1.59,0.33,0.98,0.77,1.13,Oophagy,Matrotrophic,Pelagic
,Orectolobiformes,Brachaeluridae,Brachaelurus waddi,690,1.39,0.58,0.06,0.11,0.27,0.37,Yolk-sac Live-bearing,Lecithotrophic,Reef
,,Ginglymostomatidae,Nebrius ferrugineus,32200,15.16,8.84,0.79,0.67,3.32,1.54,Oophagy,Matrotrophic,Reef
,,Hemiscyllidae,Chiloscyllium punctatum,700,2.16,1.06,0.12,0.19,0.47,0.32,Egg-Laying,Lecithotrophic,Reef
,,,Hemiscyllium ocellatum,600,1.96,1.02,0.09,0.12,0.41,0.32,Egg-Laying,Lecithotrophic,Reef
,,Orectolobidae,Orectolobus maculatus,12300,3.23,1.37,0.20,0.33,0.47,0.86,Yolk-sac Live-bearing,Lecithotrophic,Reef
,,,Orectolobus ornatus,3580,2.18,0.83,0.11,0.25,0.37,0.63,Yolk-sac Live-bearing,Lecithotrophic,Reef
,,Rhincodontidae,Rhincodon typus,1388120,35.43,14.95,2.81,2.57,10.44,4.67,Yolk-sac Live-bearing,Lecithotrophic,Pelagic
Squalimorpha,Hexanchiformes,Hexanchidae,Heptranchias perlo,8344,3.20,0.92,0.25,0.59,0.51,0.93,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,,Notorynchus cepedianus,22171,5.70,1.78,0.31,0.98,0.79,1.84,Yolk-sac Live-bearing,Lecithotrophic,Shelf
,Pristiophoriformes,Pristiophoridae,Pristiophorus cirratus,1080,1.66,0.33,0.09,0.31,0.33,0.60,Yolk-sac Live-bearing,Lecithotrophic,Shelf
,,,Pristiophorus nudipinnis,32,0.36,0.06,0.04,0.09,0.04,0.13,Yolk-sac Live-bearing,Lecithotrophic,Shelf
,Squaliformes,Centrophoridae,Centrophorus harrissoni,1163,2.70,0.72,0.20,0.41,0.55,0.81,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,,Centrophorus squamosus,13800,4.45,1.10,0.30,0.91,0.72,1.42,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,,Deania calcea,2025,3.51,0.70,0.23,0.64,0.69,1.24,Mucoid Histotrophy,Lecithotrophic,Deep
,,Dalatiidae,Dalatias licha,413,1.11,0.31,0.10,0.19,0.16,0.36,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,Etmopteridae,Etmopterus baxteri,2228,1.92,0.50,0.16,0.24,0.32,0.71,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,,Etmopterus lucifer,197,0.74,0.18,0.06,0.12,0.14,0.24,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,Oxynotidae,Oxynotus bruniensis,2543,2.25,0.74,0.21,0.19,0.54,0.56,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,Somniosidae,Centroscymnus owstonii,2758,3.33,0.72,0.11,0.49,0.67,1.34,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,,Centroselachus crepidater,1050,2.83,0.62,0.21,0.27,0.56,1.17,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,,Proscymnodon plunketi,6513,4.20,1.02,0.25,0.50,0.96,1.47,Mucoid Histotrophy,Matrotrophic,Deep
,,Squalidae,Cirrhigaleus australis,5367,4.98,1.29,0.39,0.49,1.38,1.43,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,,Squalus acanthias,983,2.36,0.74,0.16,0.35,0.42,0.69,Yolk-sac Live-bearing,Lecithotrophic,Shelf
,,,Squalus griffini,3980,4.96,1.51,0.29,0.90,0.76,1.50,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,,Squalus megalops,424,2.24,0.61,0.16,0.40,0.44,0.63,Yolk-sac Live-bearing,Lecithotrophic,Deep
